Project Name,File Path,Mocking Framework,Imported Mock Line
abdera,abdera\core\src\test\java\org\apache\abdera\util\MimeTypeHelperTest.java,easymock,org.easymock.EasyMock
abdera,abdera\extensions\opensearch\src\test\java\org\apache\abdera\test\ext\opensearch\server\impl\SimpleOpenSearchInfoTest.java,easymock,static org.easymock.EasyMock.*
abdera,abdera\server\src\test\java\org\apache\abdera\protocol\server\processors\EntryRequestProcessorTest.java,easymock,org.easymock.EasyMock
abdera,abdera\server\src\test\java\org\apache\abdera\protocol\server\processors\MediaRequestProcessorTest.java,easymock,org.easymock.EasyMock
abdera,abdera\server\src\test\java\org\apache\abdera\protocol\server\test\route\RouteTest.java,easymock,static org.easymock.EasyMock.createMock
abdera,abdera\server\src\test\java\org\apache\abdera\protocol\server\test\route\RouteTest.java,easymock,static org.easymock.EasyMock.expect
abdera,abdera\server\src\test\java\org\apache\abdera\protocol\server\test\route\RouteTest.java,easymock,static org.easymock.EasyMock.replay
accumulo,accumulo\core\src\test\java\org\apache\accumulo\core\clientImpl\RootTabletLocatorTest.java,easymock,static org.easymock.EasyMock.createMock
accumulo,accumulo\core\src\test\java\org\apache\accumulo\core\clientImpl\RootTabletLocatorTest.java,easymock,static org.easymock.EasyMock.expect
accumulo,accumulo\core\src\test\java\org\apache\accumulo\core\clientImpl\RootTabletLocatorTest.java,easymock,static org.easymock.EasyMock.replay
accumulo,accumulo\core\src\test\java\org\apache\accumulo\core\clientImpl\RootTabletLocatorTest.java,easymock,static org.easymock.EasyMock.verify
accumulo,accumulo\core\src\test\java\org\apache\accumulo\core\clientImpl\ScannerBaseTest.java,easymock,static org.easymock.EasyMock.expect
accumulo,accumulo\core\src\test\java\org\apache\accumulo\core\clientImpl\ScannerBaseTest.java,easymock,static org.easymock.EasyMock.partialMockBuilder
accumulo,accumulo\core\src\test\java\org\apache\accumulo\core\clientImpl\ScannerBaseTest.java,easymock,static org.easymock.EasyMock.replay
accumulo,accumulo\core\src\test\java\org\apache\accumulo\core\clientImpl\ScannerBaseTest.java,easymock,static org.easymock.EasyMock.verify
accumulo,accumulo\core\src\test\java\org\apache\accumulo\core\clientImpl\ScannerImplTest.java,easymock,org.easymock.EasyMock
accumulo,accumulo\core\src\test\java\org\apache\accumulo\core\clientImpl\TabletLocatorImplTest.java,easymock,static org.easymock.EasyMock.replay
accumulo,accumulo\core\src\test\java\org\apache\accumulo\core\clientImpl\TabletLocatorImplTest.java,easymock,org.easymock.EasyMock
accumulo,accumulo\core\src\test\java\org\apache\accumulo\core\clientImpl\TabletServerBatchReaderTest.java,easymock,org.easymock.EasyMock
accumulo,accumulo\core\src\test\java\org\apache\accumulo\core\clientImpl\ThriftTransportKeyTest.java,easymock,static org.easymock.EasyMock.createMock
accumulo,accumulo\core\src\test\java\org\apache\accumulo\core\clientImpl\ThriftTransportKeyTest.java,easymock,static org.easymock.EasyMock.expect
accumulo,accumulo\core\src\test\java\org\apache\accumulo\core\clientImpl\ThriftTransportKeyTest.java,easymock,static org.easymock.EasyMock.replay
accumulo,accumulo\core\src\test\java\org\apache\accumulo\core\clientImpl\ThriftTransportKeyTest.java,easymock,static org.easymock.EasyMock.verify
accumulo,accumulo\core\src\test\java\org\apache\accumulo\core\clientImpl\ThriftTransportKeyTest.java,easymock,org.easymock.EasyMock
accumulo,accumulo\core\src\test\java\org\apache\accumulo\core\clientImpl\ZookeeperLockCheckerTest.java,easymock,static org.easymock.EasyMock.createMock
accumulo,accumulo\core\src\test\java\org\apache\accumulo\core\clientImpl\ZookeeperLockCheckerTest.java,easymock,static org.easymock.EasyMock.expect
accumulo,accumulo\core\src\test\java\org\apache\accumulo\core\clientImpl\ZookeeperLockCheckerTest.java,easymock,static org.easymock.EasyMock.replay
accumulo,accumulo\core\src\test\java\org\apache\accumulo\core\clientImpl\ZookeeperLockCheckerTest.java,easymock,static org.easymock.EasyMock.verify
accumulo,accumulo\core\src\test\java\org\apache\accumulo\core\client\ZooKeeperInstanceTest.java,easymock,static org.easymock.EasyMock.createMock
accumulo,accumulo\core\src\test\java\org\apache\accumulo\core\client\ZooKeeperInstanceTest.java,easymock,static org.easymock.EasyMock.expect
accumulo,accumulo\core\src\test\java\org\apache\accumulo\core\client\ZooKeeperInstanceTest.java,easymock,static org.easymock.EasyMock.replay
accumulo,accumulo\core\src\test\java\org\apache\accumulo\core\client\ZooKeeperInstanceTest.java,easymock,org.easymock.EasyMock
accumulo,accumulo\core\src\test\java\org\apache\accumulo\core\constraints\VisibilityConstraintTest.java,easymock,static org.easymock.EasyMock.createMock
