class name, frequency
org.apache.hadoop.hdfs.DistributedFileSystem,3,
org.apache.logging.log4j.core.Appender,4,
java.net.InetAddress,8,
javax.security.auth.callback.NameCallback,1,
javax.security.auth.callback.PasswordCallback,1,
javax.security.sasl.RealmCallback,1,
javax.security.auth.callback.TextOutputCallback,1,
javax.security.sasl.SaslClient,2,
org.apache.hadoop.security.token.Token,12,
org.apache.hadoop.mapreduce.Mapper.Context,5,
javax.servlet.http.HttpServletRequest,36,
javax.servlet.ServletContext,2,
javax.servlet.http.HttpServletResponse,35,
org.apache.hadoop.security.authorize.AccessControlList,2,
javax.servlet.FilterConfig,1,
javax.servlet.FilterChain,1,
javax.servlet.ServletResponse,1,
javax.management.MBeanServer,1,
javax.management.MBeanInfo,1,
org.apache.hadoop.mapred.Reporter,8,
org.apache.hadoop.mapred.OutputCollector,5,
org.apache.hadoop.util.ProgramDriver,1,
org.apache.hadoop.mapreduce.JobContext,3,
org.apache.hadoop.mapreduce.TaskAttemptContext,1,
org.apache.hadoop.fs.LocatedFileStatus,1,
org.apache.hadoop.mapreduce.Job,1,
com.codahale.metrics.Meter,1,
javax.servlet.ServletOutputStream,4,
java.util.Random,1,
org.apache.hadoop.fs.FileSystem,36,
org.slf4j.Logger,7,
org.apache.hadoop.fs.FSDataInputStream,7,
org.apache.hadoop.fs.FSDataOutputStream,2,
org.apache.hadoop.fs.FileStatus,21,
org.apache.hadoop.fs.Path,16,
java.util.concurrent.ThreadPoolExecutor,1,
org.apache.hadoop.hdfs.client.HdfsDataInputStream,1,
java.lang.Runnable,3,
org.apache.hadoop.metrics2.lib.DynamicMetricsRegistry,1,
org.apache.hadoop.hdfs.web.WebHdfsFileSystem,1,
org.apache.hadoop.hdfs.web.SWebHdfsFileSystem,1,
javax.crypto.SecretKey,2,
org.apache.zookeeper.ZooKeeper,3,
org.apache.http.HttpEntity,3,
org.apache.http.StatusLine,12,
org.apache.http.client.methods.CloseableHttpResponse,5,
org.apache.http.impl.client.CloseableHttpClient,4,
java.util.Map,7,
org.apache.http.client.HttpClient,2,
org.apache.http.HttpResponse,8,
org.apache.hadoop.security.UserGroupInformation,14,
org.apache.accumulo.core.client.security.tokens.AuthenticationToken,5,
org.apache.accumulo.core.client.Connector,5,
org.apache.accumulo.core.client.Instance,2,
org.apache.accumulo.core.client.ZooKeeperInstance,4,
java.sql.ResultSet,26,
java.sql.ResultSetMetaData,19,
java.sql.Connection,18,
org.apache.hadoop.conf.Configuration,2,
org.apache.hadoop.fs.ContentSummary,3,
org.apache.druid.java.util.http.client.HttpClient,1,
java.io.PrintStream,1,
java.util.concurrent.ExecutorService,4,
java.util.concurrent.Future,4,
org.apache.hadoop.mapred.JobConf,3,
org.apache.atlas.AtlasClientV2,5,
org.apache.atlas.model.impexp.AtlasExportRequest,2,
org.apache.atlas.AtlasServiceException,1,
org.apache.atlas.model.impexp.AtlasServer,1,
com.sun.jersey.api.client.ClientResponse,2,
org.apache.tez.runtime.api.ProcessorContext,2,
java.util.List,7,
org.apache.hadoop.mapred.InputSplit,1,
org.apache.hadoop.mapred.FileSplit,2,
org.apache.tez.dag.api.ProcessorDescriptor,1,
org.apache.hadoop.yarn.api.records.Resource,7,
org.apache.tez.dag.api.EdgeProperty,1,
org.apache.tez.client.TezClient,3,
org.apache.tez.dag.api.client.DAGClient,2,
org.apache.hadoop.yarn.api.records.LocalResource,1,
org.apache.tez.dag.api.VertexManagerPluginContext,1,
org.apache.tez.runtime.api.InputInitializerContext,10,
org.apache.tez.dag.api.client.DAGStatus,1,
org.apache.tez.dag.api.client.Progress,2,
org.apache.tez.dag.api.client.VertexStatus,2,
java.io.DataInput,2,
org.apache.hadoop.hdfs.protocol.HdfsLocatedFileStatus,1,
org.apache.parquet.hadoop.ParquetInputFormat,1,
org.apache.parquet.io.api.RecordConsumer,1,
org.apache.parquet.hadoop.ParquetOutputFormat,2,
org.apache.hadoop.util.Progressable,1,
org.apache.calcite.plan.RelOptSchema,4,
com.amazonaws.secretsmanager.caching.SecretCache,1,
com.google.protobuf.Message,4,
org.mockito.ArgumentCaptor<java.lang.Iterable<java.util.Map.Entry<java.lang.String,java.lang.String>>>,1,
javax.net.SocketFactory,2,
org.apache.tez.dag.records.TezTaskAttemptID,3,
org.apache.tez.serviceplugins.api.TaskCommunicatorContext,1,
org.apache.tez.serviceplugins.api.DagInfo,1,
org.apache.tez.runtime.api.impl.TaskSpec,1,
org.apache.hadoop.yarn.api.records.ContainerId,1,
org.apache.hadoop.yarn.api.records.Priority,6,
org.apache.tez.serviceplugins.api.TaskSchedulerContext,1,
java.util.concurrent.ScheduledExecutorService,1,
javax.naming.directory.DirContext,2,
javax.naming.NamingEnumeration,2,
javax.naming.directory.SearchResult,2,
org.apache.hadoop.hdfs.DFSClient,1,
org.apache.hadoop.fs.permission.AclStatus,4,
org.apache.hadoop.fs.FsShell,6,
io.netty.util.concurrent.Promise<java.io.Serializable>,1,
org.apache.spark.launcher.SparkAppHandle,1,
javax.jdo.PersistenceManager,5,
org.apache.hadoop.fs.LocalFileSystem,1,
java.sql.Statement,4,
com.jcraft.jsch.Session,1,
com.jcraft.jsch.ChannelSftp,1,
com.jcraft.jsch.JSch,1,
javax.mail.Store,1,
javax.mail.Folder,5,
javax.mail.Message,3,
java.text.SimpleDateFormat,3,
org.apache.commons.vfs2.FileObject,12,
org.apache.commons.vfs2.FileName,10,
org.apache.commons.vfs2.FileSelectInfo,1,
java.io.Writer,4,
java.sql.DatabaseMetaData,30,
java.sql.PreparedStatement,16,
java.lang.Throwable,3,
org.w3c.dom.NodeList,1,
org.w3c.dom.Node,13,
java.lang.Object,14,
org.w3c.dom.Document,1,
java.util.Properties,1,
org.apache.commons.vfs2.FileContent,3,
java.io.OutputStream,9,
org.mockito.ArgumentCaptor<byte[]>,1,
Data,4,
Meta,3,
org.apache.http.client.methods.HttpGet,1,
org.apache.http.client.methods.HttpPost,4,
java.io.PrintWriter,1,
com.sun.jersey.api.client.WebResource,3,
com.sun.jersey.api.client.Client,1,
org.apache.commons.vfs2.UserAuthenticator,2,
org.apache.commons.vfs2.UserAuthenticationData,2,
